Order_ID,Customer_ID,Purchase_Date,City,Store_Name,Product_Category,Product_Name,Quantity,Unit_Price,Sales_Amount,Discount,Payment_Method,Customer_Segment,Delivery_Days,Customer_Rating
ORD000001,CUST00835,2022-06-30,Mumbai,Reliance Store 2,Groceries,Oil,3,814,2442,244.2,Debit Card,Premium,2,2
ORD000002,CUST01438,2022-05-18,Bengaluru,Reliance Store 1,Sports,Football,5,2834,14170,0.0,Net Banking,Regular,1,1
ORD000003,CUST00090,2021-07-09,Bengaluru,Reliance Store 5,Sports,Cricket Bat,4,935,3740,374.0,Cash,Occasional,4,3
ORD000004,CUST00704,2023-12-05,Ahmedabad,Reliance Store 7,Mobile Accessories,Earbuds,1,2599,2599,259.9,UPI,Regular,7,5
ORD000005,CUST00996,2023-12-03,Kolkata,Reliance Store 12,Furniture,Bookshelf,5,4986,24930,0.0,Credit Card,Occasional,7,1
ORD000006,CUST00686,2022-11-22,Kolkata,Reliance Store 3,Mobile Accessories,Earbuds,3,1493,4479,671.85,Cash,Occasional,7,3
ORD000007,CUST00181,2025-08-31,Pune,Reliance Store 1,Groceries,Oil,2,4902,9804,490.2,Cash,Occasional,5,1
ORD000008,CUST01115,2023-09-18,Bengaluru,Reliance Store 5,Beauty,Cream,4,2011,8044,1206.6,Cash,Regular,1,1
ORD000009,CUST00044,2022-06-10,Pune,Reliance Store 9,Electronics,Headphones,4,1682,6728,1009.2,UPI,Premium,5,1
ORD000010,CUST00888,2021-01-18,Kolkata,Reliance Store 3,Sports,Yoga Mat,1,779,779,116.85,UPI,Regular,3,4
ORD000011,CUST00849,2022-12-15,Hyderabad,Reliance Store 6,Groceries,Oil,5,2842,14210,0.0,Credit Card,Regular,6,2
ORD000012,CUST00794,2024-01-06,Delhi,Reliance Store 5,Fashion,Shoes,1,4349,4349,434.9,Cash,Regular,2,5
ORD000013,CUST01290,2021-12-08,Kolkata,Reliance Store 14,Sports,Cricket Bat,5,1079,5395,269.75,Cash,Occasional,1,3
ORD000014,CUST00879,2025-06-09,Hyderabad,Reliance Store 6,Mobile Accessories,Earbuds,4,2588,10352,1035.2,Net Banking,Occasional,5,2
ORD000015,CUST01118,2025-01-27,Pune,Reliance Store 8,Sports,Yoga Mat,5,958,4790,479.0,UPI,Regular,5,2
ORD000016,CUST00816,2021-03-30,Mumbai,Reliance Store 7,Home Appliances,Fan,3,2267,6801,340.05,UPI,Premium,3,5
ORD000017,CUST00172,2022-11-30,Bengaluru,Reliance Store 18,Home Appliances,Mixer,1,2697,2697,404.55,Cash,Occasional,4,1
ORD000018,CUST00698,2023-03-22,Chennai,Reliance Store 17,Beauty,Face Wash,5,4082,20410,0.0,Net Banking,Occasional,4,3
ORD000019,CUST00944,2023-01-12,Kolkata,Reliance Store 11,Fashion,Jeans,1,3054,3054,152.7,Cash,Regular,7,2
ORD000020,CUST00850,2023-02-08,Delhi,Reliance Store 6,Electronics,Smart Watch,4,611,2444,366.6,Debit Card,Premium,3,1
ORD000021,CUST00113,2023-02-19,Hyderabad,Reliance Store 19,Beauty,Perfume,5,2739,13695,1369.5,UPI,Regular,5,3
ORD000022,CUST00900,2024-02-27,Pune,Reliance Store 8,Home Appliances,Fan,4,2278,9112,1366.8,Net Banking,Occasional,3,3
ORD000023,CUST00041,2023-05-27,Ahmedabad,Reliance Store 5,Groceries,Oil,2,1110,2220,0.0,Cash,Occasional,2,3
ORD000024,CUST00066,2023-08-08,Delhi,Reliance Store 19,Sports,Cricket Bat,2,4996,9992,999.2,Cash,Premium,6,1
ORD000025,CUST00853,2023-01-03,Kolkata,Reliance Store 2,Beauty,Cream,3,1476,4428,0.0,Cash,Occasional,2,2
